Day,Phase,Visitors,Returning visitors,Trials,Conversion (%),Response time (ms)
1,Baseline,1758,371,52,2.97,460
2,Baseline,1712,363,50,2.91,475
3,Baseline,1559,332,44,2.84,481
4,Baseline,1504,322,42,2.77,476
5,Baseline,1429,307,39,2.73,462
6,Baseline,1364,295,38,2.78,441
7,Baseline,1549,336,45,2.93,418
8,Baseline,1845,402,58,3.17,398
9,Baseline,1862,408,64,3.46,385
10,Baseline,1654,364,61,3.69,383
11,Baseline,1551,343,59,3.8,391
12,Baseline,1543,343,58,3.73,407
13,Baseline,1509,337,53,3.49,427
14,Baseline,1618,362,51,3.13,446
15,Baseline,1903,428,52,2.75,460
16,Baseline,1999,452,50,2.5,464
17,Baseline,1782,405,44,2.45,458
18,Baseline,1603,365,42,2.65,442
19,Baseline,1623,372,49,3.04,420
20,Baseline,1658,381,58,3.52,398
21,Baseline,1721,398,68,3.96,378
22,Baseline,1949,452,82,4.21,367
23,Baseline,2106,491,88,4.2,367
24,Baseline,1930,452,76,3.96,376
25,Baseline,1679,395,60,3.55,393
26,Baseline,1677,396,52,3.09,414
27,Baseline,1789,424,49,2.75,433
28,Baseline,1855,441,48,2.61,445
29,Baseline,2004,479,55,2.72,447
30,Baseline,2178,523,66,3.03,439
31,Release,2077,501,50,2.42,507
32,Release,1790,433,50,2.8,485
33,Release,1723,419,53,3.06,462
34,Release,1888,461,59,3.14,444
35,Release,2005,491,61,3.04,435
36,Release,2088,514,59,2.83,436
37,Release,2228,550,57,2.58,447
38,Release,2202,546,75,3.39,380
39,Release,1929,480,63,3.28,401
40,Release,1783,446,58,3.28,419
41,Release,1954,490,66,3.36,429
42,Release,2148,541,74,3.46,430
43,Release,2206,558,79,3.56,420
44,Release,2276,578,83,3.64,402
45,Release,2292,584,85,3.71,379
46,Release,2080,532,78,3.77,357
47,Release,1875,482,72,3.86,340
48,Release,2001,516,79,3.96,333
49,Release,2266,587,92,4.07,336
50,Release,2350,611,97,4.13,348
51,Release,2342,611,96,4.11,367
52,Release,2353,616,93,3.97,388
53,Release,2218,583,83,3.74,405
54,Release,2000,528,70,3.5,413
55,Release,2051,544,68,3.3,412
56,Release,2349,625,76,3.24,401
57,Release,2500,668,84,3.37,381
58,Release,2442,654,89,3.66,358
59,Release,2399,645,97,4.06,337
60,Release,2328,629,104,4.46,321
61,Follow-up,2147,582,101,4.72,316
62,Follow-up,2125,578,101,4.77,321
63,Follow-up,2405,657,110,4.58,335
64,Follow-up,2633,721,111,4.21,354
65,Follow-up,2573,708,96,3.75,374
66,Follow-up,2453,677,82,3.36,390
67,Follow-up,2404,666,76,3.17,397
68,Follow-up,2295,638,74,3.23,394
69,Follow-up,2232,623,79,3.54,381
70,Follow-up,2450,686,98,4.0,360
71,Follow-up,2736,769,122,4.47,337
72,Follow-up,2722,768,131,4.82,317
73,Follow-up,2533,717,126,4.96,303
74,Follow-up,2456,698,119,4.86,299
75,Follow-up,2422,690,110,4.56,306
76,Follow-up,2369,678,99,4.19,321
77,Follow-up,2509,720,96,3.84,341
78,Follow-up,2805,808,102,3.63,361
79,Follow-up,2867,829,103,3.61,375
80,Follow-up,2648,768,99,3.75,381
81,Follow-up,2502,728,100,4.01,376
82,Follow-up,2517,735,108,4.29,361
83,Follow-up,2519,738,114,4.51,340
84,Follow-up,2597,764,121,4.64,317
85,Follow-up,2853,842,133,4.67,297
86,Follow-up,2988,884,138,4.62,285
87,Follow-up,2790,829,127,4.54,283
88,Follow-up,2566,765,115,4.47,291
89,Follow-up,2580,771,114,4.42,308
90,Follow-up,2660,798,117,4.4,328
